"MatchWeek","HomeTeam","HomeScore","AwayTeam","AwayScore"
"1","Зенит","0","Локомотив","0"
"1","Анжи","0","ЦСКА","0"
"1","Ростов","1","Оренбург","0"
"1","Урал","2","Уфа","0"
"1","Спартак","4","Арсенал","0"
"1","Терек","1","Крылья Советов","0"
"1","Рубин","0","Амкар","0"
"1","Краснодар","3","Томь","0"
"2","Уфа","0","Зенит","0"
"2","Арсенал","1","Рубин","0"
"2","Оренбург","0","ЦСКА","1"
"2","Амкар","2","Анжи","0"
"2","Локомотив","2","Томь","2"
"2","Ростов","0","Урал","0"
"2","Спартак","1","Крылья Советов","0"
"2","Краснодар","4","Терек","0"
"3","Зенит","3","Ростов","2"
"3","Урал","0","ЦСКА","1"
"3","Крылья Советов","1","Краснодар","1"
"3","Рубин","1","Спартак","1"
"3","Томь","1","Уфа","0"
"3","Анжи","1","Арсенал","0"
"3","Терек","1","Локомотив","1"
"3","Оренбург","0","Амкар","0"
"4","Рубин","1","Анжи","2"
"4","Уфа","1","Терек","3"
"4","Зенит","1","ЦСКА","1"
"4","Ростов","3","Томь","0"
"4","Амкар","1","Урал","0"
"4","Спартак","2","Краснодар","0"
"4","Локомотив","0","Крылья Советов","0"
"4","Арсенал","0","Оренбург","0"
"5","Крылья Советов","0","Уфа","1"
"5","Оренбург","1","Рубин","1"
"5","Томь","0","ЦСКА","1"
"5","Зенит","3","Амкар","0"
"5","Урал","1","Арсенал","1"
"5","Терек","2","Ростов","1"
"5","Краснодар","1","Локомотив","2"
"5","Анжи","0","Спартак","2"
"6","Ростов","2","Крылья Советов","1"
"6","Амкар","1","Томь","0"
"6","Оренбург","0","Анжи","0"
"6","ЦСКА","3","Терек","0"
"6","Уфа","0","Краснодар","0"
"6","Спартак","1","Локомотив","0"
"6","Арсенал","0","Зенит","5"
"6","Рубин","3","Урал","1"
"7","Оренбург","1","Спартак","3"
"7","Томь","1","Арсенал","0"
"7","Урал","0","Анжи","1"
"7","Терек","1","Амкар","3"
"7","Локомотив","0","Уфа","1"
"7","Крылья Советов","1","ЦСКА","2"
"7","Краснодар","2","Ростов","1"
"7","Зенит","4","Рубин","1"
"8","ЦСКА","1","Краснодар","1"
"8","Ростов","1","Локомотив","0"
"8","Оренбург","0","Урал","1"
"8","Арсенал","0","Терек","0"
"8","Спартак","0","Уфа","1"
"8","Анжи","2","Зенит","2"
"8","Амкар","0","Крылья Советов","0"
"8","Рубин","2","Томь","1"
"9","Томь","1","Урал","1"
"9","Крылья Советов","2","Анжи","1"
"9","Локомотив","1","Арсенал","1"
"9","Терек","2","Оренбург","1"
"9","Уфа","1","Амкар","1"
"9","Зенит","4","Спартак","2"
"9","Краснодар","1","Рубин","0"
"9","Ростов","2","ЦСКА","0"
"10","ЦСКА","1","Уфа","0"
"10","Амкар","0","Локомотив","0"
"10","Рубин","3","Крылья Советов","0"
"10","Спартак","1","Ростов","0"
"10","Урал","0","Зенит","2"
"10","Оренбург","3","Томь","1"
"10","Арсенал","0","Краснодар","0"
"10","Анжи","0","Терек","0"
"11","Крылья Советов","1","Арсенал","1"
"11","Томь","0","Анжи","3"
"11","Уфа","0","Ростов","0"
"11","Урал","0","Спартак","1"
"11","Терек","3","Рубин","1"
"11","Локомотив","1","ЦСКА","0"
"11","Краснодар","1","Амкар","0"
"11","Зенит","1","Оренбург","0"
"12","Амкар","1","Ростов","0"
"12","Спартак","3","ЦСКА","1"
"12","Урал","1","Терек","4"
"12","Арсенал","0","Уфа","2"
"12","Зенит","1","Томь","0"
"12","Анжи","0","Краснодар","0"
"12","Оренбург","1","Крылья Советов","0"
"12","Рубин","2","Локомотив","0"
"13","Томь","0","Спартак","1"
"13","Уфа","2","Рубин","3"
"13","Крылья Советов","2","Урал","2"
"13","Локомотив","4","Анжи","0"
"13","Терек","2","Зенит","1"
"13","Ростов","4","Арсенал","1"
"13","ЦСКА","2","Амкар","2"
"13","Краснодар","3","Оренбург","3"
"14","Арсенал","0","ЦСКА","1"
"14","Рубин","0","Ростов","0"
"14","Оренбург","1","Локомотив","1"
"14","Анжи","0","Уфа","1"
"14","Краснодар","3","Урал","0"
"14","Спартак","1","Амкар","0"
"14","Зенит","3","Крылья Советов","1"
"14","Терек","0","Томь","0"
"15","Уфа","1","Оренбург","0"
"15","Амкар","1","Арсенал","0"
"15","ЦСКА","0","Рубин","0"
"15","Локомотив","1","Урал","1"
"15","Терек","0","Спартак","1"
"15","Крылья Советов","3","Томь","0"
"15","Ростов","2","Анжи","0"
"15","Краснодар","2","Зенит","1"
"16","Урал","1","Ростов","0"
"16","Рубин","1","Арсенал","0"
"16","ЦСКА","2","Оренбург","0"
"16","Зенит","2","Уфа","0"
"16","Крылья Советов","4","Спартак","0"
"16","Терек","2","Краснодар","1"
"16","Томь","1","Локомотив","6"
"16","Анжи","3","Амкар","1"
"17","ЦСКА","4","Урал","0"
"17","Ростов","0","Зенит","0"
"17","Локомотив","2","Терек","0"
"17","Уфа","1","Томь","0"
"17","Амкар","3","Оренбург","0"
"17","Краснодар","1","Крылья Советов","1"
"17","Спартак","2","Рубин","1"
"17","Арсенал","1","Анжи","0"
"18","Томь","0","Ростов","6"
"18","Оренбург","3","Арсенал","0"
"18","ЦСКА","0","Зенит","0"
"18","Урал","1","Амкар","0"
"18","Крылья Советов","0","Локомотив","3"
"18","Краснодар","2","Спартак","2"
"18","Терек","0","Уфа","1"
"18","Анжи","0","Рубин","1"
"19","Арсенал","2","Урал","0"
"19","Уфа","1","Крылья Советов","0"
"19","ЦСКА","4","Томь","0"
"19","Рубин","0","Оренбург","0"
"19","Амкар","1","Зенит","0"
"19","Спартак","1","Анжи","0"
"19","Ростов","0","Терек","0"
"19","Локомотив","1","Краснодар","2"
"20","Анжи","1","Оренбург","0"
"20","Томь","1","Амкар","0"
"20","Урал","1","Рубин","0"
"20","Локомотив","1","Спартак","1"
"20","Крылья Советов","0","Ростов","0"
"20","Терек","0","ЦСКА","1"
"20","Краснодар","0","Уфа","0"
"20","Зенит","2","Арсенал","0"
"21","Анжи","2","Урал","3"
"21","Уфа","0","Локомотив","1"
"21","Арсенал","3","Томь","0"
"21","Амкар","1","Терек","1"
"21","Рубин","0","Зенит","2"
"21","ЦСКА","2","Крылья Советов","1"
"21","Спартак","3","Оренбург","2"
"21","Ростов","0","Краснодар","0"
"22","Крылья Советов","2","Амкар","2"
"22","Терек","3","Арсенал","1"
"22","Зенит","1","Анжи","1"
"22","Уфа","1","Спартак","3"
"22","Краснодар","1","ЦСКА","1"
"22","Локомотив","0","Ростов","0"
"22","Томь","2","Рубин","2"
"22","Урал","2","Оренбург","0"
"23","Амкар","1","Уфа","1"
"23","ЦСКА","0","Ростов","0"
"23","Анжи","1","Крылья Советов","3"
"23","Рубин","0","Краснодар","1"
"23","Оренбург","2","Терек","1"
"23","Урал","1","Томь","0"
"23","Арсенал","0","Локомотив","3"
"23","Спартак","2","Зенит","1"
"24","Уфа","0","ЦСКА","2"
"24","Зенит","2","Урал","0"
"24","Ростов","3","Спартак","0"
"24","Локомотив","3","Амкар","3"
"24","Терек","0","Анжи","1"
"24","Томь","1","Оренбург","2"
"24","Крылья Советов","0","Рубин","0"
"24","Краснодар","2","Арсенал","0"
"25","Спартак","1","Урал","0"
"25","Ростов","1","Уфа","0"
"25","Оренбург","0","Зенит","1"
"25","Рубин","0","Терек","1"
"25","Арсенал","2","Крылья Советов","0"
"25","ЦСКА","4","Локомотив","0"
"25","Амкар","0","Краснодар","2"
"25","Анжи","3","Томь","3"
"26","Локомотив","0","Рубин","1"
"26","Терек","5","Урал","2"
"26","Уфа","1","Арсенал","0"
"26","ЦСКА","1","Спартак","2"
"26","Ростов","1","Амкар","0"
"26","Томь","0","Зенит","2"
"26","Крылья Советов","1","Оренбург","1"
"26","Краснодар","0","Анжи","0"
"27","Амкар","0","ЦСКА","2"
"27","Арсенал","1","Ростов","0"
"27","Спартак","1","Томь","0"
"27","Оренбург","1","Краснодар","0"
"27","Рубин","2","Уфа","1"
"27","Зенит","0","Терек","1"
"27","Урал","1","Крылья Советов","3"
"27","Анжи","0","Локомотив","0"
"28","ЦСКА","3","Арсенал","0"
"28","Урал","1","Краснодар","1"
"28","Амкар","0","Спартак","1"
"28","Крылья Советов","1","Зенит","3"
"28","Локомотив","4","Оренбург","0"
"28","Томь","1","Терек","2"
"28","Уфа","2","Анжи","1"
"28","Ростов","4","Рубин","2"
"29","Томь","0","Крылья Советов","2"
"29","Оренбург","1","Уфа","1"
"29","Урал","1","Локомотив","2"
"29","Спартак","3","Терек","0"
"29","Рубин","0","ЦСКА","2"
"29","Анжи","1","Ростов","2"
"29","Зенит","1","Краснодар","0"
"29","Арсенал","0","Амкар","0"
"30","Арсенал","3","Спартак","0"
"30","Амкар","1","Рубин","2"
"30","ЦСКА","4","Анжи","0"
"30","Оренбург","2","Ростов","0"
"30","Уфа","1","Урал","0"
"30","Томь","1","Краснодар","5"
"30","Крылья Советов","1","Терек","3"
"30","Локомотив","0","Зенит","2"
